OrbitalPhasePackage
KIC 9832227
Exponential
T1,T0,Period (d),tau (d),P_ref (d)
2455688.499130,2459663.0,0.457961510,0.113541000,0.457951500
BJD,cycles,Phase
EOH
2457015.99905,2898.81583,0.8158
2457025.99883,2920.65218,0.6522
2457035.99867,2942.48867,0.4887
2457045.99857,2964.32530,0.3253
2457055.99855,2986.16209,0.1621
2457065.99859,3007.99903,0.9990
2457075.99870,3029.83612,0.8361
2457085.99887,3051.67335,0.6733
2457095.99910,3073.51071,0.5107
2457105.99938,3095.34819,0.3482
2457115.99970,3117.18576,0.1858
2457126.00006,3139.02341,0.0234
2457136.00043,3160.86110,0.8611
2457146.00082,3182.69883,0.6988
2457156.00120,3204.53655,0.5365
2457166.00158,3226.37425,0.3742
2457176.00193,3248.21190,0.2119
2457186.00224,3270.04949,0.0495
2457196.00252,3291.88700,0.8870
2457206.00276,3313.72442,0.7244
2457216.00293,3335.56171,0.5617
2457226.00304,3357.39886,0.3989
2457236.00309,3379.23588,0.2359
2457246.00308,3401.07277,0.0728
2457256.00300,3422.90951,0.9095
2457266.00285,3444.74613,0.7461
2457276.00265,3466.58262,0.5826
2457286.00239,3488.41899,0.4190
2457296.00209,3510.25527,0.2553
2457306.00175,3532.09147,0.0915
2457316.00138,3553.92762,0.9276
2457326.00099,3575.76373,0.7637
2457336.00060,3597.59983,0.5998
2457346.00021,3619.43595,0.4359
2457355.99984,3641.27211,0.2721
2457365.99950,3663.10834,0.1083
2457375.99920,3684.94466,0.9447
2457385.99895,3706.78110,0.7811
2457395.99876,3728.61766,0.6177
2457405.99863,3750.45437,0.4544
2457415.99856,3772.29123,0.2912
2457425.99857,3794.12824,0.1282
2457435.99864,3815.96541,0.9654
2457445.99878,3837.80272,0.8027
2457455.99898,3859.64018,0.6402
2457465.99924,3881.47776,0.4778
2457475.99954,3903.31544,0.3154
2457485.99988,3925.15322,0.1532
2457496.00024,3946.99105,0.9911
2457506.00062,3968.82893,0.8289
2457516.00101,3990.66682,0.6668
2457526.00139,4012.50471,0.5047
2457536.00175,4034.34256,0.3426
2457546.00209,4056.18036,0.1804
2457556.00239,4078.01808,0.0181
2457566.00264,4099.85571,0.8557
2457576.00285,4121.69323,0.6932
2457586.00299,4143.53063,0.5306
2457596.00307,4165.36791,0.3679
2457606.00309,4187.20505,0.2050
2457616.00304,4209.04205,0.0420
2457626.00293,4230.87891,0.8789
2457636.00276,4252.71565,0.7157
2457646.00253,4274.55228,0.5523
2457656.00225,4296.38879,0.3888
2457666.00193,4318.22522,0.2252
2457676.00157,4340.06159,0.0616
2457686.00119,4361.89791,0.8979
2457696.00080,4383.73420,0.7342
2457706.00041,4405.57051,0.5705
2457716.00003,4427.40684,0.4068
2457725.99967,4449.24324,0.2432
2457735.99935,4471.07971,0.0797
2457745.99907,4492.91629,0.9163
2457755.99885,4514.75299,0.7530
2457765.99868,4536.58983,0.5898
2457775.99858,4558.42682,0.4268
2457785.99855,4580.26397,0.2640
2457795.99859,4602.10127,0.1013
2457805.99869,4623.93873,0.9387
2457815.99886,4645.77633,0.7763
2457825.99909,4667.61407,0.6141
2457835.99937,4689.45193,0.4519
2457845.99969,4711.28989,0.2899
2457856.00004,4733.12792,0.1279
2457866.00042,4754.96601,0.9660
